iin,card_brand,card_sub_brand,card_type,card_category,country_code,bank_name,bank_url,bank_phone,bank_city
360324,DINERS CLUB INTERNATIONAL,,CREDIT,STANDARD,CO,Banco Davivienda S.A.,www.davivienda.com,+57 1 3383838,Bogotá D.C.
370245,AMERICAN EXPRESS,,CREDIT,PRESTIGE,VE,BANESCO BANCO UNIVERSAL S.A.,www.banesco.com,+58 212 501 11 11,CARACAS
410131,VISA,ELECTRON,DEBIT,,QZ,PROCREDIT BANK,www.procreditbank-kos.com,+381 38 555 555,Prishtine
410687,VISA,ELECTRON,DEBIT,,QZ,RAIFFEISEN BANK,www.raiffeisen-kosovo.com,+381 38 222 222,Prishtine
412570,VISA,ELECTRON,DEBIT,,GE,Liberty Bank JSC,www.libertybank.ge,+995 32 255 55 00,Tbilisi
426354,VISA,,CREDIT,CLASSIC,DE,COMDIRECT BANK AG,www.comdirect.de,+49041067082500,Quickborn
431940,VISA,,DEBIT,,IE,BANK OF IRELAND,www.bankofireland.com,+353 567757007,Dublin
431947,VISA,,DEBIT,,IE,ALLIED IRISH BANKS PLC,www.aib.ie,+353 16600311,Dublin
441659,VISA,,CREDIT,PLATINUM,ID,CIMB Niaga,www.cimbniaga.com,+62 21 14041,
446521,VISA,ELECTRON,DEBIT,,GE,Liberty Bank JSC,www.libertybank.ge,+995 32 255 55 00,Tbilisi
450198,VISA,,CREDIT,CLASSIC,GB,MBNA EUROPE BANK LTD,www.mbna.co.uk,+1 0800 062 062,
467765,VISA,IPKO,PREPAID,,QZ,RAIFFEISEN BANK,www.raiffeisen-kosovo.com,+381 38 222 222,Prishtine
481171,VISA,,DEBIT,,US,Bancorp Bank,www.thebancorp.com, +1 866 271 1623, Wilmington
516230,MASTERCARD,,CREDIT,PLATINUM,BR,NUBANK,www.nubank.com.br,,Sao Paulo
516746,MASTERCARD,,DEBIT,,GE,Bank of Georgia,www.bankofgeorgia.ge,+995 32 244 44 44,Tbilisi
516746,MASTERCARD,,DEBIT,EXPRESS CARDS,GE,Bank of Georia,www.bog.ge,+995 32 244 44 44,Tbilisi
516968,MASTERCARD,,DEBIT,,IE,KBC Bank Ireland,www.kbc.ie,+35316347963,Dublin
525320,MASTERCARD,ELECTRON,CREDIT,,BR,ITAU UNIBANCO S/A,www.itau.com.br,+55 11 3003 3030,Sao Paulo
529204,MASTERCARD,,CREDIT,STANDARD,IT,CARTASI S.P.A.,www.cartasi.it,+390234980020,Milan
531306,MASTERCARD,,PREPAID,,GB,Wirecard Card Solutions,www.wirecard-cardsolutions.com,+44 019 1227 5450,Newcastle Upon Tyne
559405,MASTERCARD,,DEBIT,PLATINUM,IN,ICICI BANK,www.icicibank.com,+91 22 26531414,Mumbai
559460,MASTERCARD,,CREDIT,,US,CO-OP Financial Services,www.co-opfs.org, +1 800 782 9042, Rancho Cucamonga
621483,CHINA UNION PAY,,DEBIT,,CN,CHINA MERCHANTS BANK,www.cmbchina.com,+86 95555,Shenzhen
